1	UAFWERC0001	Temperature	Continious Temp, Degress C/hour	Not Applicable	96	Not Relevant	Field Observation	0	0	103	Continuous	Instrumentation	-9999	
2	UAFWERC0002	Temperature	Avg Temp, Degrees C/hour	Not Applicable	96	Not Relevant	Field Observation	0	0	103	Average	Instrumentation	-9999	
3	UAFWERC0003	Battery voltage	Continuous BattVolt, Volts/hour	Not Applicable	168	Instrument diagnostics	Field Observation	0	0	103	Continuous	Instrumentation	-9999	
4	UAFWERC0004	Battery voltage	Average BattVolt, Volt/hour	Not Applicable	168	Instrument diagnostics	Field Observation	0	0	103	Average	Instrumentation	-9999	
5	UAFWERC0005	Battery voltage	Maximum BattVolt, Volt/hour	Not Applicable	168	Instrument diagnostics	Field Observation	0	0	103	Maximum	Instrumentation	-9999	
6	UAFWERC0006	Battery voltage	Minimum BattVolt, Volt/hour	Not Applicable	168	Instrument diagnostics	Field Observation	0	0	103	Minimum	Instrumentation	-9999	
7	UAFWERC0007	Precipitation	Continuous Precip, mm/min	Not Applicable	54	Precipitation	Field Observation	0	0	102	Continuous	Climate	-9999	
8	UAFWERC0008	Precipitation	Cumulative Precip, mm/min	Not Applicable	54	Precipitation	Field Observation	0	0	102	Cumulative	Climate	-9999	
9	UAFWERC0009	Wind speed	Continuous WS, m/s every minute	Not Applicable	119	Air	Field Observation	0	0	102	Continuous	Climate	-9999	
10	UAFWERC0010	Temperature	Continuous Temp degree C, minute	Not Applicable	96	Air	Field Observation	0	0	102	Continuous	Climate	-9999	
13	UAFWERC0011	Amphere	Maximum Amp, A/min	Not Applicable	332	Instrument diagnostics	Field Observation	0	0	102	Maximum	Instrumentation	-9999	
14	UAFWERC0012	Amphere	Average Amp, A/min	Not Applicable	332	Instrument diagnostics	Field Observation	0	0	102	Average	Instrumentation	-9999	
15	UAFWERC0013	Snow depth	Continuous Snow depth, m/minute	Not Applicable	52	Snow	Field Observation	0	0	102	Continuous	Climate	-9999	
16	UAFWERC0014	Temperature	Average Temp, degrees F/minute	Not Applicable	97	Air	Field Observation	0	0	102	Average	Climate	-9999	
17	UAFWERC0015	Snow depth	unknown snow depth, cm/year	Not Applicable	47	Snow	Field Observation	0	0	107	Unknown	Climate	-9999	
18	UAFWERC0016	Snow depth	derived from RasterDataValue, average snow depth, cm/year	Not Applicable	47	Snow	Field Observation	0	0	107	Average	Climate	-9999	
20	UAFWERC0017	Density	spatially averaged snow density, g/cm3	Not Applicable	198	Snow	Field Observation	0	0	107	Average	Climate	-9999	
21	UAFWERC_SnowWaterEquivalent	Snow Water Equivalent	spatially averaged SWE, cm	Not Applicable	47	Snow	Field Observation	0	0	107	Instantaneous	Hydrology	-9999	
22	UAFWERC0019	Precipitation	Daily precipitation.  (Precipitation reading for 24 hours ending at time of observation.  Trace is less than 0.005 inch.  Unit measurement, inches to Hundredths.),NCDC	Not Applicable	49	Precipitation	Field Observation	0	0	104	Continuous	Climate	99999	
24	UAFWERC0020	Snowfall	Daily snowfall (Snowfall includes sleet).  Amount is for 24-hour period ending at observation time.  Hail was included with snowfall from July 1948 through December 1955.  Hail occurring alone was not included with either snowfall or snow depth before and after that period.  Trace is less than 0.05 inch.)  Unit Measurement, Inches to Tenths. NCDC	Not Applicable	49	Snow	Field Observation	0	0	104	Continuous	Climate	9999	
25	UAFWERC0021	Snow depth	Snow depth at observation time.  (Snow depth is depth of snow on the ground at time of observation.)  Trace is depth less than 0.5 inch.) Unit measurement, Whole Inches. NCDC	Not Applicable	49	Snow	Field Observation	0	0	104	Continuous	Climate	9999	
26	UAFWERC0022	Temperature	Daily maximum temperature.  (Maximum temperature reading for 24 hours ending at time of observation.) Unit measurement, Whole Degrees Fahrenheit. NCDC	Not Applicable	97	Air	Field Observation	0	0	104	Maximum	Climate	9999	
27	UAFWERC0023	Temperature	Daily minimum temperature. (Minimum temperature reading for 24 hours ending at time of observation.) Unit measurement, Whole Degrees Fahrenheit. NCDC	Not Applicable	97	Air	Field Observation	0	0	104	Minimum	Climate	9999	
28	UAFWERC0024	Temperature	Temperature at observation time.  Unit Measurement, Whole Degrees Fahrenheit.	Not Applicable	97	Air	Field Observation	0	0	104	Sporadic	Climate	9999	
32	FWS_SummerWaterVolume	Volume	Summer water voume 	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
34	WaterVolume_ice_1.0ft	Volume	Estimate of winter water volume when lake ice is approximately 1 ft thick	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
35	WaterVolume_ice_2.0ft	Volume	Estimate of winter water volume  when lake ice is approximately 2 ft thick	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
36	WaterVolume_ice_3.0ft	Volume	Estimate of winter water volume when lake ice is approximately 3 ft thick	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
37	WaterVolume_ice_4.0ft	Volume	Estimate of winter water volume  when lake ice is approximately 4 ft thick	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
38	WaterVolume_ice_5.0ft	Volume	Estimate of winter water volume  when lake ice is approximately 5 ft thick	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
39	WaterVolume_ice_6.0ft	Volume	Estimate of winter water volume  when lake ice is approximately 6 ft thick	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
40	WaterVolume_ice_7.0ft	Volume	Estimate of winter water volume  when lake ice is approximately 7 ft thick	Not Applicable	123	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
41	FWS_WaterDepthMax	Water depth	Maximum water depth when no ice was present	Not Applicable	48	Surface Water	Field Observation	0	0	103	Maximum	Hydrology	-9999	
42	WaterDepth	Water depth	Water depth 	Not Applicable	48	Surface Water	Field Observation	0	0	103	Sporadic	Hydrology	-9999	
43	LakeSurfaceArea	Area, surface	Surface Area of lake 	Not Applicable	12	Surface Water	Field Observation	0	0	103	Sporadic	Hydrology	-9999	
45	MaximumFetch_WSW-ENE	Distance	Maximum fetch distance parallel to prevailing wind direction (WSW-ENE) measured to nearest 100 ft from topo maps 	Not Applicable	48	Surface Water	Derived Value	0	0	103	Sporadic	Hydrology	-9999	
48	FWS_FishPresence	Fish Detected		Fish Presence	Not Applicable	258	Surface Water	Field Observation	0	0	103	Categorical	Biota	-9999
49	FWS_AirTemp	Temperature	Air temperature	Not Applicable	96	Air	Field Observation	-1	0	103	Unknown	Climate	-9999	
50	FWS_WindDir	Wind direction	Wind direction	Not Applicable	2	Air	Field Observation	-1	0	103	Unknown	Climate	-9999	
51	FWS_WindSp	Wind speed	Wind Speed 	Not Applicable	116	Air	Field Observation	-1	0	103	Unknown	Climate	-9999	
52	FWS_SoilTemp	Temperature	Soil temperature	Not Applicable	96	Soil	Field Observation	-1	0	103	Unknown	Climate	-9999	
56	NWISDV00060DailyAverage	Discharge	Discharge, cubic feet per second, daily avg	Not Applicable	35	Surface Water	Field Observation	0	1	104	Average	Hydrology	-9999	
58	NWISDV00010DailyAverage	Temperature	Temperature, water, degrees Celsius, daily avg	Not Applicable	96	Surface Water	Field Observation	0	1	104	Average	Hydrology	-9999	
59	NWISDV00010DailyMinimum	Temperature	Temperature, water, degrees Celsius, daily min	Not Applicable	96	Surface Water	Field Observation	0	1	104	Minimum	Hydrology	-9999	
60	NWISDV00010DailyMaximum	Temperature	Temperature, water, degrees Celsius, daily max	Not Applicable	96	Surface Water	Field Observation	0	1	104	Maximum	Hydrology	-9999	
61	NWISDV00020DailyAverage	Temperature	Temperature, air, degrees Celsius, daily avg	Not Applicable	96	Air	Field Observation	0	1	104	Average	Climate	-9999	
62	NWISDV00045DailyIncrementalInches	Precipitation	Precipitation, total, inches, daily total	Not Applicable	49	Precipitation	Field Observation	0	1	104	Incremental	Climate	-9999	
65	NCDC_COOP_MaxTemp	Temperature	Temp, max, daily, NV_99999, degrees f	Not Applicable	97	Air	Field Observation	-1	1	104	Maximum	Climate	99999	
68	NCDC_COOP_MinTemp	Temperature	Temp, Min, daily, NV_99999, degrees f	Not Applicable	97	Air	Field Observation	-1	1	104	Minimum	Climate	99999	
70	NCDC_COOP_InstantaneousTemp_At_Observation	Temperature	Temp, at observation, daily, NV_99999, degrees f	Not Applicable	97	Air	Field Observation	-1	1	104	Instantaneous	Climate	99999	
71	NCDC_COOP_MeanTemp	Temperature	Temp, mean, daily, NV_99999, degrees f	Not Applicable	97	Air	Field Observation	-1	1	104	Average	Climate	99999	
72	NCDC_COOP_Precip	Precipitation	Precipitation, cumulative, daily, NV_99999	Not Applicable	49	Precipitation	Field Observation	-1	1	104	Cumulative	Climate	99999	
73	NCDC_COOP_Snowfall	Snowfall	Snow fall, cumulative,  daily, NV_99999	Not Applicable	49	Snow	Field Observation	-1	1	104	Cumulative	Climate	99999	
74	NCDC_COOP_Snowdepth	Snow depth	Snow depth on ground, daily, NV_99999	Not Applicable	49	Snow	Field Observation	-1	1	104	Instantaneous	Climate	99999	
75	UAFWERC_SnowDepthAvg	Snow depth	Snow depth, cm/hour	Not Applicable	47	Snow	Field Observation	-1	0	103	Average	Climate	7777	
80	UAFWERC_RH	Relative humidity	Relative humidity,percent/hour	Not Applicable	1	Air	Field Observation	-1	0	103	Average	Climate	7777	
81	UAFWERC_AT	Temperature	Temperature, C/hr	Not Applicable	96	Air	Field Observation	-1	0	103	Average	Climate	7777	
82	UAFWERC_WS	Wind speed	Wind Speed, m/s	Not Applicable	119	Air	Field Observation	-1	0	103	Continuous	Climate	7777	
83	UAFWERC_WD	Wind direction	Wind Direction, degrees/hour	Not Applicable	2	Air	Field Observation	-1	0	103	Continuous	Climate	7777	
84	UAFWERC_Precip	Precipitation	Rainfall, mm/hour	Not Applicable	54	Precipitation	Field Observation	-1	0	103	Continuous	Climate	7777	
86	UAFWERC_NetRadAvg	Radiation, net	Net Radiation, W/m2 hourly	Not Applicable	33	Air	Field Observation	-1	0	103	Average	Climate	7777	
87	UAFWERC_SoilTempHourly	Temperature	Soil Temperature	Not Applicable	96	Soil	Field Observation	-1	0	103	Continuous	Climate	7777	
89	UAFWERC_SoilWaterContent	Water Content	Soil water content	Not Applicable	333	Soil	Field Observation	-1	0	103	Continuous	Climate	7777	
90	UAFWERC_Discharge	Discharge	Discharge, cubic meters per second, hourly	Not Applicable	36	Surface Water	Field Observation	-1	0	103	Continuous	Hydrology	7777	
91	UAFWERC_WaterLevel	Water level	Water level Elevation, meters, hourly	Not Applicable	52	Surface Water	Field Observation	-1	0	103	Continuous	Hydrology	7777	
92	UAFWERC_WaterTemp	Temperature	Water Temperature, degrees Celsius, hourly	Not Applicable	96	Surface Water	Field Observation	-1	0	103	Average	Hydrology	7777	
93	UAFWERC_IcePresent	Ice	Ice present	Not Applicable	258	Surface Water	Field Observation	-1	0	137	Categorical	Hydrology	7777	
104	UAFWERC_SnowTempDaily	Temperature	Snow Temp in C, measure cm above soil surface	Not Applicable	96	Snow	Field Observation	-1	0	104	Average	Climate	7777	
107	UAFWERC_SoilTempDaily	Temperature	Soil Temp C, daily	Not Applicable	96	Soil	Field Observation	-1	0	104	Average	Climate	7777	
108	UAFWERC_SoilSurfTempHourly	Temperature	Soil Surface Temp C, hourly	Not Applicable	96	Soil	Field Observation	-1	0	103	Average	Climate	7777	
109	UAFWERC_SoilSurfTempDaily	Temperature	Soil Surface Temp C daily	Not Applicable	96	Soil	Field Observation	-1	0	104	Average	Climate	7777	
110	UAFWERC_OutgoingLongwave	Radiation, outgoing longwave	terresiral longwave radiation, hourly	Not Applicable	33	Air	Field Observation	-1	0	103	Average	Climate	7777	
